title,authors,year,citations,scholar_id
"Intellectual monopoly in global value chains","C Durand , W Milberg - Review of International Political Economy, 2020 - Taylor & Francis",2020,485,"930734130925418631"
"Financialization, globalization and the making of profits by leading retailers","C Baud , C Durand - Socio-economic review, 2012 - academic.oup.com",2012,346,"17955178211482387797"
"Fictitious capital: How finance is appropriating our future","C Durand - 2017 - Verso Books",2017,314,"6216951304174804711"
"Technoféodalisme: Critique de l'économie numérique","C Durand - 2020 - Zones",2020,297,"4044150306656599670"
"Planning beyond growth: The case for economic democracy within ecological limits","C Durand , E Hofferberth, M Schmelzer - Journal of cleaner production, 2024 - Elsevier",2024,121,"5917155008732624600"
"Tecnofeudalismo: Crítica de la economía digital","C Durand - 2021 - La Cebra; Donostia: Kaxilda",2021,120,"3120538538011611385"
"European growth models and working class restructuring: an international post-Keynesian political economy perspective","E Stockhammer , C Durand … - Environment and planning …, 2016 - journals.sagepub.com",2016,95,"15530325947797617914"
"Institutional and economic determinants of transnational retailer expansion and performance: a comparative analysis of Wal-Mart and Carrefour","C Durand , N Wrigley - Environment and Planning A, 2009 - journals.sagepub.com",2009,92,"9517217829535360740"
"The profit–investment nexus in an era of financialisation, globalisation and monopolisation: A profit-centred perspective","C Durand , M Gueuder - Review of political economy, 2018 - Taylor & Francis",2018,87,"12111577377401445942"
"Ecologically unequal exchange and uneven development patterns along global value chains","…, L Cahen-Fourot , B Carballa-Smichowski , C Durand … - World …, 2023 - Elsevier",2023,85,"16924040571774299854"
"Le capital fictif: comment la finance s' approprie notre avenir","C Durand - 2014 - cemi.ehess.fr",2014,72,"2411695485924322545"
"Participation in global value chains and varieties of development patterns","B Carballa Smichowski , C Durand … - Cambridge Journal of …, 2021 - academic.oup.com",2021,64,"16171564499229722526"
"How silicon valley unleashed techno-feudalism: the making of the digital economy","C Durand - 2025 - books.google.com",2025,61,"11581465096561132805"
"Fictitious capital","C Durand - 2017 - digamoo.free.fr",2017,59,"15375573132291162289"
"Scouting capital's frontiers","C Durand - New Left Review, 2022 - hal.science",2022,50,"12970032539826208141"
"Tecnofeudalismo","C Durand - Crítica de la economía digital, 2021",2021,50,"15356001311896339673"
"En finir avec l'Europe","C Durand - 2013 - journals.openedition.org",2013,44,"18139458685382721445"
"Corporate financialization's conservation and transformation: from Mark I to Mark II","T Auvray, C Durand , J Rabinovich , C Rikap - Review of Evolutionary …, 2021 - Springer",2021,44,"6916812637756250545"
"Financial hegemony and the unachieved European state","C Durand , R Keucheyan - Competition & change, 2015 - journals.sagepub.com",2015,43,"15524982490874993632"
"Bureaucratic Caesarism: A Gramscian outlook on the crisis of Europe","R Keucheyan, C Durand - Historical materialism, 2015 - brill.com",2015,42,"4033400625474007891"
"Comment bifurquer: les principes de la planification écologique","C Durand , R Keucheyan - 2024 - Zones",2024,41,"13969811005220309311"
"La transformation de la relation sociale à l'énergie du fordisme au capitalisme néolibéral. Une exploration empirique et macro-économique comparée dans …","L Cahen-Fourot , C Durand - Revue de la régulation …, 2016 - journals.openedition.org",2016,40,"5577000916648702070"
"Les crises de la grande distribution","M Hocquelet , M Benquet , C Durand … - Revue française de …, 2016 - shs.cairn.info",2016,39,"14839870023079826851"
"El capital ficticio: cómo las finanzas se apropian de nuestro futuro","C Durand - 2018 - books.google.com",2018,36,"1503943079714461749"
"Le capital fictif","C Durand - 2014 - hal.science",2014,34,"8135263841254624840"
"La financiarisation de la grande distribution","M Benquet , C Durand - Revue française de socio-économie, 2016 - shs.cairn.info",2016,28,"5049923088261190780"
"Is labour the fall guy of a financial-led globalisation? A cross-country inquiry on globalisation, financialisation and employment at the industry level","C Durand , S Miroudot - Review of World Economics, 2015 - Springer",2015,24,"15173649844649348215"
"Planifier à l'âge des algorithmes","C Durand , R Keucheyan - Actuel Marx, 2019 - shs.cairn.info",2019,24,"13654957027527169674"
"Los límites de la inversión extranjera directa (IED) como fuente de ideas para el crecimiento de las economías en desarrollo","C Durand - Problemas del desarrollo, 2005 - scielo.org.mx",2005,23,"4143049283176831490"
"Reclaiming digital sovereignty: A roadmap to build a digital stack for people and the planet","C Rikap , C Durand , E Paraná , P Gerbaudo, P Marx - 2024 - lutpub.lut.fi",2024,23,"5295686140620614153"
"Balance sheets after the EMU: an assessment of the redenomination risk","C Durand , S Villemot - Socio-Economic Review, 2020 - academic.oup.com",2020,23,"12267638966996437127"
"Étudier les chaînes globales de valeur comme une forme d'organisation industrielle","C Durand , D Flacher, V Frigant - Revue d'économie …, 2018 - journals.openedition.org",2018,21,"14792597579413536144"
"Regulation beyond growth","C Durand , P Légé - Capital & Class, 2013 - journals.sagepub.com",2013,20,"18361457194759932204"
"Techno-féodalisme: Critique de l'économie numérique","C Durand - 2023 - La Découverte",2023,19,"13673780417429508150"
"Externalities from FDI in the Mexican self-service retailing sector","C Durand - Cambridge Journal of Economics, 2007 - academia.edu",2007,19,"17737421079980835487"
"Between developmentalism and instrumentalization: the comeback of the producing state in Russia","C Durand - Journal of Innovation Economics & Management, 2008 - shs.cairn.info",2008,19,"3511244980268014246"
"De la prédation à la rente, émergence et stabilisation d'une oligarchie capitaliste dans la métallurgie russe (1991-2002)","C Durand - Géographie, économie, société, 2004 - shs.cairn.info",2004,19,"2947112809700391765"
"The end of financial hegemony?","C Durand - New Left Review, 2022 - NEW LEFT REV LTD 6 MEARD ST …",2022,18,"13836432560769595417"
"Les privatisations en Russie et la naissance d'un capitalisme oligarchique","C Durand - Recherches internationales, 2005 - hal.science",2005,17,"18076814271304113828"
"Uneven development patterns in global value chains","BC Smichowski , C Durand , S Knauss - 2016 - hal.science",2016,17,"298218957170102117"
"Covid-19: après la crise… les crises: l'heure de la planification écologique","C Durand , R Keucheyan - Le Monde diplomatique, 2020 - shs.hal.science",2020,16,"5235309900124617028"
"Tecnofeudalismo: la nueva gleba digital","C Durand - Viento Sur, 2021 - lahistoriadeldiablog.wordpress.com",2021,15,"3677392324859804436"
"Comment bifurquer","C Durand , R Keucheyan - Les principes de la planification écologique. Paris: La …, 2024",2024,15,"3564862399997943251"
"Introduction: qu'est-ce que l'Europe?","C Durand - En finir avec l'Europe, 2013 - shs.cairn.info",2013,13,"6371774392913016013"
"Misère de l'économie du développement","C Durand , C Nordmann - La Revue des livres, 2011 - durandcedric.wordpress.com",2011,13,"9943221931743706352"
"Le capitalisme est-il indépassable?","C Durand - Lectures, Les livres, 2009 - journals.openedition.org",2009,13,"2996437180012916833"
"Hollow states","C Durand - New Left Review Sidecar, 2023",2023,13,"7141561933057216178"
"Over-accumulation, rising costs and 'unproductive'labor: The relevance of the classic stationary state issue for developed countries","C Durand , P Légé - Review of Radical Political Economics, 2014 - journals.sagepub.com",2014,12,"12414386844871392504"
"Planning beyond growth","C Durand , E Hofferberth… - The Case for …, 2023 - access.archive-ouverte.unige.ch",2023,12,"229955619039591374"
"Le mouvement altermondialiste: de nouvelles pratiques organisationnelles pour l'émancipation","C Durand - Mouvements, 2005 - shs.cairn.info",2005,12,"10021667200840758104"
"1979 in Reverse","C Durand - New Left Review, 2021",2021,12,"3378989349642435622"
"Profit-making, costs, and investments in the digitalization of retailing—The uneven trajectories of Carrefour, Amazon and Walmart (1995–2019)","C Durand , C Baud - Competition & Change, 2024 - journals.sagepub.com",2024,11,"7998453778776219791"
"Pourquoi les firmes métallurgiques russes s' internationalisent-elles? Une perspective institutionnelle et systémique","C Durand - Revue d'études comparatives Est-Ouest, 2007 - persee.fr",2007,11,"18124556793596529120"
"L'envers de l'économie numérique: un capitalisme intellectuel monopoliste","C Durand - Note de recherche de l'IFRIS, 2018 - ifris.org",2018,10,"4716525443411170645"
"Un césarisme bureaucratique","C Durand , R Keucheyan - En finir avec l'Europe, 2013 - shs.cairn.info",2013,10,"444016487284718152"
"Où va la Russie?","A Merlin , N Bachkatov, K Clément, C Durand , C Francis… - 2007 - library.oapen.org",2007,10,"1792534577285321126"
"The Transformations of the Russian Metallurgical Branch (1991-2000)","VC Durand - Journal of Economics and Business, 2003 - u-picardie.fr",2003,10,"14761931858225210904"
""" diviser pour mieux régner"": une interprétation microéconomique de la détérioration du rapport de force capital/travail","C Durand - Les Mondes du travail, 2007 - hal.science",2007,9,"10940272556517175606"
"Uneven development patterns in global value chains","B Carballa , C Durand , S Knauss - The SASE 28TH Annual conference, 2016",2016,8,"15408721161878250379"
"What is Europe?","C Durand - Cyprus Review, 2014 - cyprusreview.org",2014,6,"12013150297844607871"
"Uneven development patterns in global value chains. An empirical inquiry based on a conceptualization of GVCs as a specific form of the division of labor","B Carballa Smichowski , C Durand , S Knauss - 2016 - econpapers.repec.org",2016,6,"7620002873448004965"
"Predation in the age of algorithms: The role of intangible assets","C Durand - Accumulating Capital Today, 2021 - taylorfrancis.com",2021,6,"15526235278612643865"
"Un développementalisme russe? Le retour de l'Etat en Russie et ses limites","C Durand , M Petrovski - CEMI-EHESS working papers, 2008 - researchgate.net",2008,6,"3873759052118861663"
"Un développementalisme russe?","C Durand , M Petrovski - Autrepart, 2008 - shs.cairn.info",2008,6,"10007783370062074930"
"Délocalisations de services: quels enjeux pour les politiques publiques","F Besson, C Durand - 2006 - shs.hal.science",2006,5,"10130911824684478393"
"Quand l'histoire économique nous mord la nuque. À propos de l'ouvrage de Robert Boyer, Les capitalismes à l'épreuve de la pandémie","C Durand - Revue de la régulation. Capitalisme …, 2021 - journals.openedition.org",2021,5,"15990156025235800680"
"“Finance will get less aggressive and smaller”. An interview with Robert Guttmann","R Guttmann, C Durand - Revue de la régulation …, 2016 - journals.openedition.org",2016,5,"12718791355882255825"
